type	latitude	longitude	altitude (m)	name
T	35.214000000	-80.947000000	216.4	
T	35.102000000	-83.385000000	625.3	
T	40.527000000	-122.284000000	146.6	
T	28.806000000	-82.318000000	15.1	
T	43.453000000	-74.515000000	518.4	
T	33.644000000	-78.919000000	0.0	
T	30.151000000	-82.665000000	35.6	
T	39.008000000	-74.914000000	4.2	
T	47.713000000	-117.920000000	832.5	
T	34.135000000	-117.663000000	522.3	
T	28.753000000	-82.647000000	0.0	
T	33.269000000	-111.811000000	377.0	
T	33.269000000	-111.811000000	377.0	
T	34.389000000	-103.045000000	1263.4	
T	41.344000000	-82.178000000	240.5	
T	34.111000000	-84.449000000	273.9	
T	34.160000000	-111.726000000	697.8	
T	61.216000000	-149.842000000	40.7	
T	44.497000000	-123.289000000	74.6	
T	61.859000000	-150.126000000	40.9	
T	29.690000000	-82.272000000	39.0	
T	40.351000000	-122.205000000	112.8	
T	31.411000000	-86.090000000	77.9	
T	41.916000000	-72.777000000	56.3	
T	35.879000000	-86.378000000	185.6	
T	42.332000000	-118.316000000	1373.9	
T	34.374000000	-118.962000000	106.6	
T	39.570000000	-104.849000000	1778.7	
T	29.824000000	-95.676000000	33.8	
T	32.682000000	-103.221000000	1111.8	
T	25.649000000	-80.429000000	1.5	
T	39.193000000	-119.735000000	1433.8	
T	38.655000000	-78.668000000	313.3	
T	32.318000000	-78.066000000		
T	40.000000000	-77.000000000	151.8	
T	34.138000000	-118.724000000	256.6	
T	34.848000000	-82.350000000	309.2	
T	39.221000000	-74.796000000	11.1	
T	37.159000000	-113.307000000	998.5	
T	40.823000000	-72.751000000	14.2	
T	39.901000000	-80.131000000	323.5	
T	44.666000000	-121.153000000	741.3	
